Street,Month,Year,Boundaries - ZIP Codes,Community Areas,Zip Codes,Wards,Computed Region
35,3,2006,36,1,4301,9,48
645,3,2006,36,1,4301,9,12
870,3,2006,36,1,4301,9,12
455,3,2006,36,1,4301,10,1
31,4,2006,40,1,21194,9,12
31,4,2006,40,1,21194,9,12
31,10,2006,40,1,21194,9,12
31,10,2006,40,1,21194,9,48
645,5,2006,40,1,21194,9,12
870,3,2006,40,1,21194,9,12
870,10,2006,40,1,21194,9,12
870,3,2006,40,1,21194,9,48
1175,3,2006,40,1,21194,9,12
1175,10,2006,40,1,21194,9,12
1175,10,2006,40,1,21194,9,12
26,3,2006,40,1,21194,10,48
31,10,2006,40,1,21194,10,1
35,5,2006,36,1,21194,10,1
455,3,2006,40,1,21194,10,1
370,3,2006,36,2,4301,10,1
370,10,2006,36,2,4301,10,1
960,3,2006,36,2,4301,10,1
1012,4,2006,36,2,4301,10,1
51,10,2006,37,3,14924,9,12
1012,4,2006,37,3,14924,9,12
43,4,2006,36,4,4301,9,12
47,4,2006,36,4,4301,9,12
47,10,2006,10,4,4301,9,12
455,3,2006,36,4,4301,9,12
455,10,2006,36,4,4301,9,12
870,3,2006,36,4,4301,9,12
1012,4,2006,36,4,4301,9,12
1012,10,2006,36,4,4301,9,12
43,10,2006,36,4,4301,10,1
47,4,2006,37,4,14924,9,12
51,4,2006,37,4,14924,9,12
1175,5,2006,37,4,14924,9,12
370,3,2006,10,4,21192,10,1
47,4,2006,10,5,4301,10,1
1320,5,2006,36,5,4301,10,1
635,4,2006,10,5,21192,10,1
1320,5,2006,10,5,21192,10,1
51,9,2006,10,5,21192,33,1
390,8,2006,20,6,21849,18,13
390,8,2006,15,6,21849,18,13
780,8,2006,20,6,21849,18,13
1300,8,2006,20,6,21849,18,13
215,8,2006,20,6,21849,24,46
520,8,2006,20,6,21849,24,46
795,8,2006,20,6,21849,24,46
1300,8,2006,20,6,21849,24,13
1300,8,2006,20,6,21849,24,46
51,4,2006,10,7,21192,9,12
455,2,2006,10,7,21192,9,12
860,3,2006,10,7,21192,9,12
870,10,2006,10,7,21192,9,12
1175,10,2006,37,7,21192,9,12
51,4,2006,10,7,21192,10,1
370,2,2006,10,7,21192,10,1
1175,10,2006,60,7,21559,4,53
1175,3,2006,11,7,21559,9,12
59,3,2006,60,7,22260,4,53
63,3,2006,60,7,22260,4,53
155,4,2006,60,7,22260,4,53
370,10,2006,60,7,22260,4,53
645,3,2006,60,7,22260,4,53
645,10,2006,60,7,22260,4,53
870,9,2006,60,7,22260,4,53
920,3,2006,10,7,22260,4,53
1005,5,2006,10,7,22260,4,53
1065,3,2006,10,7,22260,4,53
550,3,2006,10,7,22260,9,12
55,4,2006,10,7,22260,10,1
1320,5,2006,10,8,21192,10,1
460,3,2006,10,8,21192,33,1
635,4,2006,10,8,21192,33,32
735,3,2006,10,8,21192,33,1
735,9,2006,10,8,21192,33,1
745,4,2006,10,8,21192,33,1
745,9,2006,10,8,21192,33,32
1320,5,2006,10,8,21192,33,1
55,4,2006,60,8,22260,33,32
56,3,2006,60,8,22260,33,32
57,8,2006,60,8,22260,33,32
57,3,2006,60,8,22260,33,32
745,12,2006,60,8,22260,33,32
880,3,2006,60,8,22260,33,32
880,3,2006,60,8,22260,33,32
880,10,2006,60,8,22260,33,32
1185,3,2006,60,8,22260,33,32
60,3,2006,60,9,22260,4,53
67,3,2006,60,9,22260,4,31
370,3,2006,60,9,22260,4,53
370,3,2006,60,9,22260,4,53
67,3,2006,60,9,22260,33,32
360,8,2006,24,9,22260,33,32
360,10,2006,60,9,22260,33,32
840,4,2006,60,9,22260,33,32
1185,10,2006,60,9,22260,33,32
312,9,2006,24,9,22538,33,32
695,9,2006,24,9,22538,33,32
702,3,2006,24,9,22538,33,32
1080,5,2006,24,9,22538,33,32
90,8,2006,9,10,21853,5,46
295,8,2006,9,10,21853,5,3
1040,8,2006,9,10,21853,5,3
1130,8,2006,9,10,21853,5,3
1090,9,2006,12,10,22528,5,3
200,9,2006,18,11,21869,50,20
520,8,2006,48,11,21869,50,20
520,10,2006,48,11,21869,50,20
570,10,2006,48,11,21869,50,20
610,8,2006,48,11,21869,50,20
890,1,2007,48,11,21869,50,20
925,8,2006,48,11,21869,50,20
240,8,2006,18,11,22532,50,20
520,8,2006,48,12,21869,38,20
480,8,2006,48,12,21869,50,20
480,8,2006,48,12,21869,50,20
205,8,2006,18,12,22532,29,34
240,8,2006,18,12,22532,29,34
425,8,2006,18,12,22532,29,34
785,11,2006,18,12,22532,29,34
1205,8,2006,18,12,22532,29,34
205,8,2006,18,12,22532,38,20
280,8,2006,18,12,22532,38,28
280,8,2006,18,12,22532,38,28
1018,9,2006,18,12,22532,38,28
720,8,2006,50,13,4450,27,42
795,8,2006,50,13,4450,27,42
1018,8,2006,50,13,4450,38,28
710,8,2006,20,13,21849,24,46
520,8,2006,20,13,21849,38,28
720,8,2006,20,13,21849,38,46
200,9,2006,20,13,21869,38,28
780,8,2006,20,14,21849,12,28
710,9,2006,20,14,21849,20,2
710,8,2006,20,14,21849,20,28
780,8,2006,20,14,21849,20,2
780,10,2006,20,14,21849,20,2
1050,10,2006,20,14,21849,38,28
1050,10,2006,48,14,21849,38,28
280,8,2006,48,14,21869,38,28
480,8,2006,48,14,21869,38,28
780,8,2006,48,14,21869,38,28
935,8,2006,48,15,4453,19,25
512,8,2006,48,15,4453,19,21
240,8,2006,48,15,21869,19,20
780,8,2006,48,15,21869,50,20
780,8,2006,48,15,21869,50,20
140,8,2006,52,15,22254,19,25
240,8,2006,21,15,22254,19,25
660,8,2006,52,15,22254,19,25
910,10,2006,52,15,22254,19,25
140,10,2006,52,15,22254,44,25
240,10,2006,21,15,22254,44,25
240,11,2006,52,15,22254,44,25
40,8,2006,21,15,22618,17,25
280,10,2006,21,15,22618,17,27
770,10,2006,21,15,22618,17,25
660,8,2006,21,15,22618,19,25
150,10,2006,21,15,22618,21,27
280,10,2006,21,15,22618,21,25
770,10,2006,21,15,22618,21,25
20,8,2006,21,15,22618,44,25
280,8,2006,21,15,22618,50,20
910,8,2006,21,15,22618,50,20
720,10,2006,39,16,21538,12,15
910,8,2006,39,16,21538,12,28
215,11,2006,39,16,21538,20,2
660,10,2006,39,16,21538,20,2
480,8,2006,39,16,21538,50,2
